activation,lr,batch_size,epochs,MAE,MSE,Spearman
elu,0.001,50,10,7.12569046,74.92505646,0.1084824911
tanh,0.01,20,50,7.100250244,74.95469666,0.1479894556
elu,0.001,100,30,7.11716032,75.46949768,0.08681986479
tanh,0.001,20,30,7.155872345,76.10665894,0.05992633778
leaky_relu,0.01,10,200,7.354475021,76.34174347,0.1246717246
leaky_relu,0.001,70,10,7.030439377,76.40008545,0.1710492982
sigmoid,0.001,10,30,7.359695435,76.44664764,0.104471749
sigmoid,0.001,50,100,7.406247139,76.53093719,0.1489324804
sigmoid,0.001,50,30,7.271724224,76.57900238,0.01490748964
elu,0.1,50,10,7.081065655,76.63298035,0.1071622564
elu,0.001,70,200,7.441013336,77.01358032,0.1628199637
swish,0.001,20,100,7.436888218,77.46385956,0.1585320877
elu,0.001,20,50,7.577290535,77.55690002,0.1403066905
tanh,0.01,10,10,7.302959919,77.87540436,0.09066124735
swish,0.001,50,10,6.877541542,77.9553299,0.06999168387
sigmoid,0.001,100,200,7.405933857,78.11024475,0.1279549905
leaky_relu,0.001,50,10,7.246343613,78.21685028,0.1790168953
leaky_relu,0.001,50,100,7.477209568,78.35313416,0.2135585458
swish,0.1,70,10,7.17303133,78.37503052,0.07297087235
leaky_relu,0.01,100,200,7.477188587,78.82032776,0.2085008537
leaky_relu,0.01,70,100,7.540489674,78.98997498,0.1364807043
swish,0.001,10,50,7.668487072,79.45159912,0.09395221137
leaky_relu,0.1,100,100,7.523425102,79.64319611,0.1557569005
tanh,0.01,20,100,7.338841438,79.80397797,0.09998756994
tanh,0.01,50,100,7.346261024,79.95520782,0.111530963
elu,0.001,20,100,7.568515301,80.01538086,0.1634897037
elu,0.001,10,50,7.579553127,80.17519379,0.1453643826
swish,0.001,70,50,7.582305908,80.353508,0.03252088303
sigmoid,0.001,70,50,7.567241192,80.83089447,-0.000315625226
sigmoid,0.01,20,30,7.336812019,80.98210144,0.1213846097
elu,0.1,70,10,7.338115692,81.20623016,0.09968734164
swish,0.001,100,100,7.78303194,81.70937347,0.1129551229
leaky_relu,0.01,70,200,7.653961182,81.90525818,0.2010490334
leaky_relu,0.01,20,200,7.728245735,83.13238525,0.1020930171
sigmoid,0.01,50,100,7.519440651,83.23378754,0.1253145211
swish,0.1,20,10,7.728427887,83.34152985,0.1422504763
sigmoid,0.01,20,100,7.754902363,83.3637085,0.1023239619
swish,0.001,50,200,7.784265995,83.47933197,0.1033093266
elu,0.01,100,30,7.672639847,83.54784393,0.1359649275
tanh,0.01,100,100,7.615166664,83.63121033,0.1453335899
sigmoid,0.001,50,10,7.194982052,84.02801514,0.05272085866
elu,0.01,100,200,7.733365059,84.1078186,0.2436506588
leaky_relu,0.001,100,200,7.89895916,85.41173553,0.1654065459
swish,0.01,10,30,7.923883915,86.00389099,0.2306369169
sigmoid,0.01,70,10,7.821280479,86.10027313,0.1269850221
leaky_relu,0.01,50,30,7.789348125,86.38276672,0.08581525472
swish,0.001,70,100,7.965396404,86.86579895,0.1163115213
sigmoid,0.001,100,100,8.004535675,87.88063049,0.09282443071
tanh,0.001,20,10,8.018407822,88.02576447,0.1422774198
swish,0.001,50,50,7.929945946,88.05648804,0.1008574622
swish,0.1,50,10,7.440594196,88.47813416,0.02590431327
swish,0.001,100,10,7.51964283,89.66842651,0.0537716577
leaky_relu,0.01,50,100,8.015054703,89.8025589,0.1566575854
tanh,0.001,10,10,8.066919327,89.96316528,0.07429495611
tanh,0.01,100,30,7.752986431,90.06056213,0.1342944264
leaky_relu,0.01,50,50,8.043188095,90.93608856,0.1352682438
tanh,0.01,100,10,8.135484695,91.2878418,0.09258578771
sigmoid,0.01,100,30,8.293930054,92.25384521,0.02260311129
sigmoid,0.01,100,10,8.303167343,92.26430511,0.01831777516
elu,0.001,70,10,7.559227467,92.41677856,0.04697033206
leaky_relu,0.001,70,200,8.113770485,92.42388916,0.1651909974
leaky_relu,0.1,50,10,7.815726757,93.68053436,0.1142561122
swish,0.001,50,100,8.216035843,94.6149292,0.2346515081
sigmoid,0.001,70,30,8.015423775,94.67723083,0.03963783328
sigmoid,0.001,20,100,7.947379589,94.97099304,0.07862902101
sigmoid,0.01,70,50,8.054422379,95.19313049,0.1439440718
tanh,0.01,70,200,7.999722481,96.00393677,0.1743364132
tanh,0.01,70,30,8.073190689,96.01488495,0.05442215234
sigmoid,0.01,70,30,8.432416916,97.10741425,-0.001043100876
leaky_relu,0.001,50,200,8.391654015,97.30303192,0.1627737747
sigmoid,0.01,50,10,8.330458641,98.50789642,-0.008941414519
swish,0.001,70,200,8.518174171,99.83037567,0.05795945753
leaky_relu,0.01,70,10,8.077712059,100.0384903,0.07318642087
swish,0.001,100,200,8.600260735,100.6728592,0.0771740685
sigmoid,0.01,50,50,8.179549217,101.6174545,0.1376469757
tanh,0.01,70,50,8.336989403,102.2718658,0.1454991004
sigmoid,0.01,100,50,8.57978344,102.3887253,0.1160998218
tanh,0.01,70,10,8.44895649,102.7561264,0.02966101605
leaky_relu,0.001,100,10,8.471399307,103.9309845,0.1276547622
tanh,0.01,100,200,8.47150135,104.5179214,0.1693326082
tanh,0.01,20,10,8.302361488,105.347847,0.07040738458
swish,0.01,100,10,8.770467758,107.9242859,0.05130054788
leaky_relu,0.01,50,200,8.833396912,108.444191,0.1740939211
elu,0.01,50,10,8.685417175,110.002594,-0.03337152987
sigmoid,0.01,100,200,8.87340641,110.6030807,0.1649100145
tanh,0.001,70,10,8.365027428,110.7322311,0.006789778395
sigmoid,0.01,10,50,8.742231369,112.2659149,0.09111543887
tanh,0.1,20,10,9.06432724,112.2998505,
tanh,0.01,70,100,8.751322746,112.9438171,0.1889783163
elu,0.001,100,10,8.835729599,116.5951843,0.1492173124
sigmoid,0.01,70,100,9.300147057,117.1606369,0.103089929
sigmoid,0.001,70,10,8.700178146,118.4133835,0.05680858239
elu,0.1,100,10,8.649842262,120.2592926,0.1990898513
sigmoid,0.001,100,30,9.279819489,124.3823166,0.1644134831
leaky_relu,0.1,70,10,9.011189461,126.007843,0.1680585625
tanh,0.001,100,10,8.782143593,127.3780441,0.1359649275
sigmoid,0.01,100,100,9.546129227,127.7919312,0.04580021152
sigmoid,0.001,100,10,9.283985138,132.3818054,0.1168888834
sigmoid,0.01,70,200,9.892671585,138.6552124,0.1379241095
sigmoid,0.01,50,200,10.15529251,143.4236908,0.1155301579
elu,0.01,70,10,10.04916573,146.9553986,0.06586162025
leaky_relu,0.1,100,10,10.49379444,199.1297302,0.29954316
leaky_relu,0.01,100,10,10.70266819,212.1006927,0.207276846
swish,0.1,100,10,11.55402374,233.1336517,0.2354906077
elu,0.01,100,10,20.17848587,521.7523804,0.09814386027
